Unnamed: 0,arrival_time,departure_time,street_marker,area,vio_time,vio_stay_time,date,week,noon
20200535,2016/11/29 17:59,18:43,793W,Library,18:29,14,2016/11/29,2,2
20246920,2016/11/29 7:30,8:12,13304N,Docklands,7:45,27,2016/11/29,2,1
20248615,2016/11/29 13:34,15:49,1687W,Rialto,15:34,15,2016/11/29,2,2
20252377,2016/11/29 12:01,13:44,C7042,Victoria Market,13:01,43,2016/11/29,2,2
20265468,2016/11/29 14:09,15:12,1512E,Markilles,14:39,33,2016/11/29,2,2
20267718,2016/11/29 10:17,11:45,12441S,Jolimont,11:17,28,2016/11/29,2,1
20268811,2016/11/29 12:27,13:50,1299W,Tavistock,13:27,23,2016/11/29,2,2
20282800,2016/11/29 8:08,11:59,13632E,Docklands,8:18,221,2016/11/29,2,1
20303453,2016/11/29 15:01,16:20,3878N,Mint,15:31,49,2016/11/29,2,2
20310535,2016/11/29 0:00,5:12,3426N,Library,2:00,192,2016/11/29,2,1
20310545,2016/11/29 16:23,17:04,13200N,Docklands,16:38,26,2016/11/29,2,2
20339448,2016/11/29 16:44,17:17,3435S,Library,16:59,18,2016/11/29,2,2
20359868,2016/11/29 8:13,11:33,C13660,Docklands,10:13,80,2016/11/29,2,1
20362596,2016/11/29 12:25,12:48,2897S,Library,12:40,8,2016/11/29,2,2
20363130,2016/11/29 16:12,17:23,2565S,Supreme,17:12,11,2016/11/29,2,2
20369524,2016/11/29 11:14,12:54,1723S,Twin Towers,12:14,40,2016/11/29,2,2
20378902,2016/11/29 12:09,14:28,C312,Hyatt,14:09,19,2016/11/29,2,2
20403887,2016/11/29 7:30,10:24,11782E,Jolimont,9:30,54,2016/11/29,2,1
20413905,2016/11/29 12:19,12:54,5094E,Courtney,12:49,5,2016/11/29,2,2
20415572,2016/11/29 8:01,9:15,12276N,Jolimont,9:01,14,2016/11/29,2,1
20468932,2016/11/29 16:17,16:57,4101W,Victoria Market,16:47,10,2016/11/29,2,2
20485153,2016/11/29 13:57,14:20,13574E,Docklands,14:12,8,2016/11/29,2,2
20506893,2016/11/29 11:30,15:13,13207S,Docklands,13:30,103,2016/11/29,2,2
20511478,2016/11/29 8:59,9:30,13377W,Docklands,9:14,16,2016/11/29,2,1
20531243,2016/11/29 12:09,13:36,5992N,Titles,13:09,27,2016/11/29,2,2
20539457,2016/11/29 7:30,14:05,3317S,Regency,10:30,215,2016/11/29,2,1
20586700,2016/11/29 16:07,17:13,3763S,The Mac,17:07,6,2016/11/29,2,2
20590716,2016/11/29 18:02,19:30,C1210,Titles,19:02,28,2016/11/29,2,2
20605388,2016/11/29 11:33,12:49,1727S,Twin Towers,12:33,16,2016/11/29,2,2
20612663,2016/11/29 9:46,10:19,7019S,Victoria Market,10:01,18,2016/11/29,2,1
20622170,2016/11/29 13:47,15:51,12481S,Jolimont,14:47,64,2016/11/29,2,2
20632903,2016/11/29 11:05,14:12,C1115,McKillop,12:05,127,2016/11/29,2,2
20633608,2016/11/29 10:14,11:31,12276N,Jolimont,11:14,17,2016/11/29,2,1
